book_index,title,publication_year,book_id,link
0,The Hunger Games (The Hunger Games; #1),2008,2767052,https://www.goodreads.com/book/show/2767052-the-hunger-games
1,Twilight (Twilight; #1),2006,41865,https://www.goodreads.com/book/show/41865.Twilight
2,The Fault in Our Stars,2012,11870085,https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars
3,Divergent (Divergent; #1),2012,13335037,https://www.goodreads.com/book/show/13335037-divergent
4,Catching Fire (The Hunger Games; #2),2009,6148028,https://www.goodreads.com/book/show/6148028-catching-fire
5,Mockingjay (The Hunger Games; #3),2010,7260188,https://www.goodreads.com/book/show/7260188-mockingjay
6,The Lightning Thief (Percy Jackson and the Olympians; #1),2006,28187,https://www.goodreads.com/book/show/28187.The_Lightning_Thief
7,City of Bones (The Mortal Instruments; #1),2007,256683,https://www.goodreads.com/book/show/256683.City_of_Bones
8,New Moon (Twilight; #2),2006,49041,https://www.goodreads.com/book/show/49041.New_Moon
9,Eclipse (Twilight; #3),2007,428263,https://www.goodreads.com/book/show/428263.Eclipse
10,Breaking Dawn (Twilight; #4),2008,1162543,https://www.goodreads.com/book/show/1162543.Breaking_Dawn
11,The Perks of Being a Wallflower,1999,22628,https://www.goodreads.com/book/show/22628.The_Perks_of_Being_a_Wallflower
12,Insurgent (Divergent; #2),2012,11735983,https://www.goodreads.com/book/show/11735983-insurgent
13,Looking for Alaska,2006,99561,https://www.goodreads.com/book/show/99561.Looking_for_Alaska
14,Holes (Holes; #1),2000,38709,https://www.goodreads.com/book/show/38709.Holes
15,The Maze Runner (Maze Runner; #1),2009,6186357,https://www.goodreads.com/book/show/6186357-the-maze-runner
16,Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children; #1),,9460487,https://www.goodreads.com/book/show/9460487-miss-peregrine-s-home-for-peculiar-children
17,City of Glass (The Mortal Instruments; #3),,3777732,https://www.goodreads.com/book/show/3777732-city-of-glass
18,City of Ashes (The Mortal Instruments; #2),2008,1582996,https://www.goodreads.com/book/show/1582996.City_of_Ashes
19,Eleanor & Park,2013,15745753,https://www.goodreads.com/book/show/15745753-eleanor-park
20,The Sisterhood of the Traveling Pants (Sisterhood; #1),,452306,https://www.goodreads.com/book/show/452306.The_Sisterhood_of_the_Traveling_Pants
21,The Selection (The Selection; #1),2012,10507293,https://www.goodreads.com/book/show/10507293-the-selection
22,Matched (Matched; #1),2010,7735333,https://www.goodreads.com/book/show/7735333-matched
23,The Battle of the Labyrinth (Percy Jackson and the Olympians; #4),2008,2120932,https://www.goodreads.com/book/show/2120932.The_Battle_of_the_Labyrinth
24,If I Stay (If I Stay; #1),,4374400,https://www.goodreads.com/book/show/4374400-if-i-stay
25,Clockwork Angel (The Infernal Devices; #1),2010,7171637,https://www.goodreads.com/book/show/7171637-clockwork-angel
26,Paper Towns,2009,6442769,https://www.goodreads.com/book/show/6442769-paper-towns
27,Allegiant (Divergent; #3),2013,18710190,https://www.goodreads.com/book/show/18710190-allegiant
28,Thirteen Reasons Why,,1217100,https://www.goodreads.com/book/show/1217100.Thirteen_Reasons_Why
29,The Titan's Curse (Percy Jackson and the Olympians; #3),2007,561456,https://www.goodreads.com/book/show/561456.The_Titan_s_Curse
30,Uglies (Uglies; #1),2005,24770,https://www.goodreads.com/book/show/24770.Uglies
31,Hush; Hush (Hush; Hush; #1),2009,6339664,https://www.goodreads.com/book/show/6339664-hush-hush
32,Matilda,,39988,https://www.goodreads.com/book/show/39988.Matilda
